X,Y,Z,VX,VY,VZ
37400370.00492308,142762499.2894078,18637.62720437348,-29.2479696746171,7.684670766752882,0.0007946281059849625
34867556.59092455,143404293.4317392,18696.80778456479,-29.38035979759798,7.171334894359852,0.0005699950105326756
32323720.3481979,144001651.418606,18735.49693676084,-29.50314929563312,6.656102969734629,0.0003235863255626192
29769685.02919945,144554420.6497292,18752.63418196142,-29.61647205977365,6.139224203811283,7.396754851196619e-05
27206262.86288278,145062467.5462033,18748.63439260423,-29.72045789084645,5.620892225717433,-0.000163411712213346
24634255.5307947,145525673.4353129,18725.09835726023,-29.81521994192627,5.101261128272236,-0.0003765284690995241
22054455.80035086,145943931.7815957,18684.52953870595,-29.90085140046217,4.580459836299553,-0.0005564194513516529
19467649.19601573,146317146.4787882,18630.09477780759,-29.97742725721943,4.058602120732556,-0.0006965930998032999
16874615.42612897,146645230.812344,18565.43464106321,-30.04500773392832,3.535792242174636,-0.0007924997613619755
14276129.52117514,146928106.7613647,18494.51239760965,-30.1036412988213,3.012127400176583,-0.0008411759804638486
11672962.76506426,147165704.4255471,18421.48559289426,-30.15336636986346,2.487698404654081,-0.0008410729409688011
9065883.541872168,147357961.4780644,18350.5859997496,-30.19421159789514,1.96258977726928,-0.0007920240363663567
6455658.20771124,147504822.6339769,18285.99871137738,-30.22619508519744,1.436880112793881,-0.0006952858133409956
3843052.056180981,147606239.1772353,18231.73685760796,-30.24932309882182,0.91064310686714,-0.0005535889462096599
1228830.396806681,147662168.6068957,18191.51317244023,-30.26358881978248,0.383949260886854,-0.0003711550573924083
-1386240.273139412,147672574.4505532,18168.61222797632,-30.26897146316071,-0.1431320134099739,-0.0001536646953955376
-4001391.038475332,147637426.2631274,18165.76706757396,-30.2654357800849,-0.6705302670125839,9.180762615151884e-05
-6615849.298947178,147556699.8006022,18185.041598849,-30.25293162363273,-1.198172107717723,0.0003568549991143088
-9228837.448915375,147430377.3512401,18227.71678955108,-30.2313930615118,-1.725979403063209,0.0006317598367066024
-11839571.44321164,147258448.2374962,18294.1765049845,-30.20073657367658,-2.253866978717807,0.000905466033119473
-14447259.1636804,147040909.5776532,18383.79020984471,-30.16085829138631,-2.781738682947193,0.001165548231876867
-17051098.53127775,146777767.5098889,18494.79721856117,-30.11163110394937,-3.309480374043807,0.001398307928008213
-19650275.43418266,146469039.2006474,18624.21243424714,-30.0529037760869,-3.836948654610674,0.001589218515346102
-22243961.79106075,146114756.01057,18767.79548661411,-29.98450564937745,-4.363955576421279,0.001723991888260779
-24831314.41210085,145714968.0559117,18920.14627630264,-29.9062610238969,-4.890252478019123,0.001790448703271164
-27411475.60901964,145269749.9646169,19074.99306293577,-29.81801522121922,-5.415519940416356,0.001781036907294364
-29983576.45211934,144779206.9087743,19225.70280000567,-29.71966851661864,-5.939372848139528,0.001695292984311259
-32546742.91609676,144243479.3256676,19365.96137028933,-29.6112067150299,-6.461385882937184,0.00154111772218668
-35100104.00372842,143662744.6787814,19490.47737010568,-29.49271425336049,-6.981134783410363,0.001333958105995237
-37642799.93382615,143037215.4831975,19595.52289509773,-29.36436236481446,-7.498238630456557,0.001093966314080319
-40173988.3792298,142367134.2315953,19679.18024103343,-29.2263776922679,-8.012387163757758,0.0008422813350006386
